Dataset,Banyak Baris (n),Banyak kolom (d),Jumlah Kelas (K),Time (1 node),F1 Score (1 node),Biaya (1 node),Time (2 node),F1 Score (2 node),Biaya (2 node),Time (3 node),F1 Score (3 node),Biaya (3 node),Time (4 node),F1 Score (4 node),Biaya (4 node)
creditcard_n1000k_d1000,1000000,1000,2,214.61,0.999,1.162676501,201.74,0.999,1.208723585,197.84,0.9992,1.185356766,197.47,0.9991,1.183139914
creditcard_n1000k_d200,1000000,200,2,131.69,0.9992,0.7134470363,129.06,0.9991,0.7732619504,108.21,0.9991,0.6483393433,107.26,0.9929,0.642647426
creditcard_n1000k_d30,1000000,30,2,76.57,0.9991,0.4148275463,70.51,0.999,0.422460097,62.26,0.9991,0.3730302885,62.32,0.9991,0.373389778
creditcard_n100k_d1000,100000,1000,2,97.35,0.9994,0.5274057938,97.84,0.9993,0.5862075718,91.22,0.9991,0.5465438952,93.58,0.9991,0.5606838162
creditcard_n100k_d200,100000,200,2,68.93,0.9991,0.3734368913,68.84,0.9993,0.4124543055,63.48,0.9991,0.3803399086,61.76,0.9992,0.3700345425
creditcard_n100k_d30,100000,30,2,28.96,0.9989,0.15689442,26.53,0.999,0.1589542813,24.84,0.9992,0.1488286599,25.81,0.999,0.1546404071
creditcard_n284k_d1000,284000,1000,2,74.43,0.9992,0.4032338288,74.87,0.9991,0.4485830019,65.17,0.999,0.39046553,64.58,0.9992,0.3869305498
creditcard_n284k_d200,284000,200,2,72.97,0.9992,0.3953240963,71.65,0.999,0.4292903978,66.17,0.9991,0.396457022,67.17,0.9992,0.4024485139
creditcard_n284k_d30,284000,30,2,37.58,0.999,0.2035943475,36.73,0.9992,0.2200674991,35.38,0.9989,0.211978985,35.57,0.9991,0.2131173685
covtype_n100k_d1000,100000,200,7,174.02,0.7108,0.9427751025,171.03,0.7138,1.024724867,155.31,0.7138,0.9305386139,150.98,0.7138,0.9045954538
 covtype_n100k_d200,100000,200,7,88.99,0.7119,0.4821144488,91.42,0.7179,0.5477421936,79.24,0.7179,0.4747658217,80.57,0.7179,0.482734506
 covtype_n100k_d54,100000,54,7,72.64,0.7098,0.39353628,75.4,0.7103,0.4517584926,67.51,0.7103,0.4044856212,64.76,0.7103,0.3880090183
covtype_n581k_d1000,581000,1000,7,165.91,0.7155,0.8988381638,154.26,0.7151,0.9242475474,135.91,0.7158,0.8143036702,131.03,0.7157,0.7850651895
covtype_n581k_d200,581000,200,7,155.22,0.7138,0.8409237525,138.13,0.7153,0.8276047823,128.24,0.7154,0.768348927,129.33,0.7142,0.7748796532

covtype_n581k_d54,581000,54,7,141.46,0.7108,0.7663772325,133.31,0.7114,0.7987257911,126.53,0.7125,0.7581034757,124.9,0.7115,0.7483373439
